City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
273,sao joao da barra,-21.6403,-41.0511,297.56,91,98,2.88,BR,1739158222
274,carnarvon,-24.8667,113.6333,300.28,61,78,7.6,AU,1739158224
275,trincomalee,8.5711,81.2335,299.63,68,100,4.67,LK,1739158226
276,sumbawa besar,-8.5,117.4333,298.23,96,100,1.52,ID,1739158227
277,santa terezinha,-29.9002,-50.0904,297.43,85,0,5.36,BR,1739158228
278,talara,-4.5772,-81.2719,298.57,83,75,2.06,PE,1739158229
279,sweet home,44.3976,-122.7362,274.94,90,14,0.89,US,1739158230
280,tibanbang,6.6315,126.1055,299.35,84,100,3.45,PH,1739158231
281,ciudad insurgentes,25.2625,-111.7753,287.95,90,63,1.96,MX,1739158232
282,maputo,-25.9653,32.5892,296.97,73,40,5.66,MZ,1739158233
283,gaalkacyo,6.7697,47.4308,294.6,85,93,2.95,SO,1739158234
284,nemuro,43.3236,145.575,271.63,68,100,6.08,JP,1739158235
285,christchurch,-43.5333,172.6333,292.22,78,100,3.6,NZ,1739158236
286,bikenibeu village,1.3673,173.1241,303.13,66,20,6.69,KI,1739158237
287,adam,22.3756,57.5233,293.38,56,0,1.05,OM,1739158238
288,kafue,-15.7691,28.1814,291.31,95,98,0.56,ZM,1739158239
289,manaure,11.7751,-72.4445,298.18,83,1,5.88,CO,1739158240
290,dapa,9.7594,126.0531,298.54,92,100,5.5,PH,1739158241
291,cadale,2.7603,46.3222,297.7,82,57,7.03,SO,1739158242
292,tongliao,43.6125,122.2653,268.25,38,27,2.99,CN,1739158243
293,kudymkar,59.0173,54.656,269.0,91,100,3.64,RU,1739158246
294,vila franca do campo,37.7167,-25.4333,288.38,88,72,9.18,PT,1739158248
295,labytnangi,66.6572,66.4183,262.51,89,100,3.67,RU,1739158249
296,bel ombre,-4.6167,55.4167,300.06,78,20,1.03,SC,1739158250
297,hithadhoo,-0.6,73.0833,301.12,72,27,4.03,MV,1739158251
298,igarka,67.4667,86.5833,261.68,96,100,4.61,RU,1739158252
299,pangody,65.85,74.4859,264.52,90,100,5.67,RU,1739158253
300,goz beida,13.95,20.55,293.05,18,1,3.39,TD,1739158254
301,copiapo,-27.3667,-70.3333,291.94,75,99,1.09,CL,1739158255
302,matthew town,20.95,-73.6667,297.32,77,0,7.95,BS,1739158256
303,nova xavantina,-14.6667,-52.35,293.84,96,33,0.9,BR,1739158257
304,kalianget,-7.05,113.9333,302.92,70,100,6.8,ID,1739158258
305,tura,25.5198,90.2201,296.2,26,0,1.78,IN,1739158259
306,portland,45.5234,-122.6762,278.49,82,90,0.45,US,1739158164
307,pesca,5.55,-73.05,287.07,96,95,1.61,CO,1739158261
308,st. john's,47.5649,-52.7093,270.25,94,100,11.83,CA,1739158259
309,nzerekore,7.7562,-8.8179,292.29,96,56,0.72,GN,1739158264
310,kittila,67.6647,24.8936,271.23,74,0,4.63,FI,1739158167
311,klaksvik,62.2266,-6.589,279.21,85,52,6.27,FO,1739158266
